,hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival,lodgings
31,Resort Hotel,Yes,5,1,0,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,97,0,0,Canceled,01/07/2018,05/07/2018,1
32,Resort Hotel,Yes,34,2,4,2,2,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,163,0,0,Canceled,17/06/2018,05/07/2018,6
33,Resort Hotel,Yes,93,2,5,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,105.5,0,0,Canceled,01/05/2018,05/07/2018,7
34,Resort Hotel,Yes,101,2,5,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,114,0,1,Canceled,30/03/2018,05/07/2018,7
35,Resort Hotel,Yes,48,1,3,2,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,167,0,0,Canceled,03/06/2018,06/07/2018,4
36,Resort Hotel,Yes,86,2,5,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,0,Transient,71,0,1,Canceled,26/06/2018,06/07/2018,7
37,Resort Hotel,Yes,94,3,7,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,87.3,0,0,Canceled,14/05/2018,06/07/2018,10
38,Resort Hotel,Yes,67,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,1,Canceled,07/05/2018,07/07/2018,2
39,Resort Hotel,Yes,43,0,5,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,Transient,91.5,0,0,Canceled,28/05/2018,07/07/2018,5
40,Resort Hotel,Yes,88,2,5,2,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,139,0,2,Canceled,13/04/2018,07/07/2018,7
41,Resort Hotel,Yes,292,2,5,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2,0,Contract,47.25,0,0,Canceled,25/03/2018,07/07/2018,7
42,Resort Hotel,Yes,113,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,123,0,1,Canceled,28/05/2018,08/07/2018,4
43,Resort Hotel,Yes,105,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,1,Canceled,29/06/2018,08/07/2018,4
44,Resort Hotel,Yes,1,0,1,2,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14,0,Transient,104.72,0,1,Canceled,08/07/2018,08/07/2018,1
45,Resort Hotel,Yes,1,0,1,2,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14,0,Transient,104.72,0,1,Canceled,08/07/2018,08/07/2018,1
46,Resort Hotel,Yes,102,1,4,2,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,9,0,Transient,66.42,0,1,Canceled,28/05/2018,08/07/2018,5
47,Resort Hotel,Yes,280,2,5,2,1,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,Contract,112,0,1,Canceled,15/04/2018,08/07/2018,7
48,Resort Hotel,Yes,77,0,3,2,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,Transient,97,0,0,Canceled,02/06/2018,09/07/2018,3
49,Resort Hotel,Yes,24,0,3,2,2,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,0,Transient,123,0,1,Canceled,16/06/2018,09/07/2018,3
50,Resort Hotel,Yes,44,0,3,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,153,0,0,Canceled,16/06/2018,09/07/2018,3
51,Resort Hotel,Yes,17,1,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,105.08,0,0,Canceled,23/06/2018,09/07/2018,4
52,Resort Hotel,Yes,103,1,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,65.42,0,0,Canceled,27/06/2018,09/07/2018,4
53,Resort Hotel,Yes,69,2,6,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,118.13,0,2,Canceled,13/05/2018,09/07/2018,8
54,Resort Hotel,Yes,51,2,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,123,0,0,Canceled,29/06/2018,10/07/2018,5
55,Resort Hotel,Yes,100,2,3,2,1,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,149,0,Transient,153.96,0,0,Canceled,29/05/2018,11/07/2018,5
56,Resort Hotel,Yes,36,2,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,126.67,0,0,Canceled,08/06/2018,11/07/2018,6
57,Resort Hotel,Yes,109,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,73.8,0,1,Canceled,22/04/2018,11/07/2018,7
58,Resort Hotel,Yes,59,2,6,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,111.25,0,2,Canceled,19/05/2018,11/07/2018,8
59,Resort Hotel,Yes,72,2,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,93,0,2,Canceled,12/05/2018,12/07/2018,6
60,Resort Hotel,Yes,58,2,5,3,1,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,0,Transient,164.57,0,1,Canceled,29/06/2018,12/07/2018,7
61,Resort Hotel,Yes,51,2,5,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,0,Transient,105.71,0,0,Canceled,03/07/2018,12/07/2018,7
62,Resort Hotel,Yes,97,3,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,126,0,1,Canceled,19/06/2018,12/07/2018,8
63,Resort Hotel,Yes,24,2,1,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,128,0,0,Canceled,22/06/2018,12/07/2018,3
64,Resort Hotel,Yes,79,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,100.86,0,1,Canceled,13/05/2018,13/07/2018,7
65,Resort Hotel,Yes,45,1,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,123,0,0,Canceled,18/06/2018,13/07/2018,2
66,Resort Hotel,Yes,60,1,4,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,79.5,0,0,Canceled,24/06/2018,13/07/2018,5
67,Resort Hotel,Yes,321,1,4,2,0,HB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,132.8,0,1,Canceled,05/03/2018,13/07/2018,5
68,Resort Hotel,Yes,51,1,4,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,Contract,79.5,0,0,Canceled,23/05/2018,13/07/2018,5
69,Resort Hotel,Yes,75,1,4,2,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,144.2,0,1,Canceled,22/06/2018,13/07/2018,5
70,Resort Hotel,Yes,42,1,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,120,0,0,Canceled,01/06/2018,13/07/2018,5
71,Resort Hotel,Yes,81,1,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,98.5,0,2,Canceled,24/04/2018,13/07/2018,6
72,Resort Hotel,Yes,98,1,5,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,130.5,0,0,Canceled,12/05/2018,13/07/2018,6
73,Resort Hotel,Yes,95,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,100.86,0,1,Canceled,15/04/2018,13/07/2018,7
74,Resort Hotel,Yes,40,0,1,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171,0,Transient,105.5,0,0,Canceled,03/07/2018,14/07/2018,1
75,Resort Hotel,Yes,76,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,126,0,2,Canceled,27/05/2018,14/07/2018,4
76,Resort Hotel,Yes,112,2,5,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,65.7,0,1,Canceled,06/04/2018,14/07/2018,7
77,Resort Hotel,Yes,96,2,7,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,Transient,107.67,0,1,Canceled,11/04/2018,14/07/2018,9
78,Resort Hotel,Yes,96,2,7,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,96.9,0,1,Canceled,11/04/2018,14/07/2018,9
79,Resort Hotel,Yes,62,0,3,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,0,Transient,91.5,0,0,Canceled,03/07/2018,15/07/2018,3
80,Resort Hotel,Yes,39,0,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,132.44,0,0,Canceled,27/06/2018,15/07/2018,3
81,Resort Hotel,Yes,58,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,131.86,0,0,Canceled,25/06/2018,15/07/2018,7
82,Resort Hotel,Yes,57,0,2,2,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,305,0,Transient-Party,0,0,0,Canceled,13/07/2018,15/07/2018,2
83,Resort Hotel,Yes,66,0,2,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,195,0,1,Canceled,02/07/2018,16/07/2018,2
84,Resort Hotel,Yes,48,0,1,1,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,146,0,Transient,112,0,0,Canceled,05/06/2018,16/07/2018,1
85,Resort Hotel,Yes,0,0,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,Transient,123.2,0,0,Canceled,16/07/2018,16/07/2018,1
86,Resort Hotel,Yes,66,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,103.5,0,1,Canceled,02/07/2018,16/07/2018,2
87,Resort Hotel,Yes,10,0,3,2,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,0,Transient,134,0,0,Canceled,13/07/2018,16/07/2018,3
88,Resort Hotel,Yes,58,0,3,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,147,0,0,Canceled,19/06/2018,16/07/2018,3
89,Resort Hotel,Yes,17,0,3,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,151.33,0,0,Canceled,30/06/2018,16/07/2018,3
90,Resort Hotel,Yes,12,2,3,2,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14,0,Transient,139,0,0,Canceled,07/07/2018,16/07/2018,5
91,Resort Hotel,Yes,35,1,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,0,Canceled,13/06/2018,16/07/2018,4
92,Resort Hotel,Yes,35,2,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,0,Canceled,11/06/2018,16/07/2018,6
93,Resort Hotel,Yes,15,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,134,0,1,Canceled,06/07/2018,17/07/2018,2
94,Resort Hotel,Yes,7,0,2,2,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,127.25,0,1,Canceled,13/07/2018,17/07/2018,2
95,Resort Hotel,Yes,23,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,120.6,0,1,Canceled,04/07/2018,17/07/2018,3
96,Resort Hotel,Yes,23,2,5,2,2,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,Transient,195,0,0,Canceled,24/06/2018,17/07/2018,7
97,Resort Hotel,Yes,32,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,154,0,0,Canceled,24/06/2018,17/07/2018,3
98,Resort Hotel,Yes,0,0,1,2,0,BB,PRT,Direct,Direct,0,0,0,L,C,0,No Deposit,14,0,Transient,136,0,0,Canceled,17/07/2018,17/07/2018,1
99,Resort Hotel,Yes,37,2,4,2,2,HB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,0,Transient,168.3,0,0,Canceled,18/07/2018,18/07/2018,6
100,Resort Hotel,Yes,96,2,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,147,0,0,Canceled,29/04/2018,18/07/2018,4
101,Resort Hotel,Yes,123,2,2,2,1,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,0,Transient,157,0,2,Canceled,04/06/2018,18/07/2018,4
102,Resort Hotel,Yes,42,2,3,2,2,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,210,0,0,Canceled,11/06/2018,18/07/2018,5
103,Resort Hotel,Yes,40,2,5,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,196,0,Transient,127.03,0,2,Canceled,24/06/2018,18/07/2018,7
104,Resort Hotel,Yes,60,2,6,2,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,167,0,0,Canceled,01/06/2018,18/07/2018,8
105,Resort Hotel,Yes,59,2,1,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,145,0,0,Canceled,23/05/2018,19/07/2018,3
106,Resort Hotel,Yes,37,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,154,0,0,Canceled,29/06/2018,19/07/2018,4
107,Resort Hotel,Yes,38,2,4,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,Transient,110.53,0,0,Canceled,19/06/2018,19/07/2018,6
108,Resort Hotel,Yes,62,2,5,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,0,Transient,158.5,0,1,Canceled,17/06/2018,19/07/2018,7
109,Resort Hotel,Yes,60,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,117.71,0,0,Canceled,27/05/2018,19/07/2018,7
110,Resort Hotel,Yes,62,2,5,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,0,Transient,158.5,0,1,Canceled,17/06/2018,19/07/2018,7
111,Resort Hotel,Yes,31,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,154,0,0,Canceled,19/06/2018,19/07/2018,7
112,Resort Hotel,Yes,24,2,4,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,214,0,0,Canceled,29/06/2018,19/07/2018,6
113,Resort Hotel,Yes,104,2,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,115,0,2,Canceled,02/07/2018,19/07/2018,6
114,Resort Hotel,Yes,47,3,5,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,195,0,0,Canceled,14/07/2018,19/07/2018,8
115,Resort Hotel,Yes,118,1,2,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,179.1,0,2,Canceled,13/05/2018,20/07/2018,3
116,Resort Hotel,Yes,41,1,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,1,Canceled,15/06/2018,20/07/2018,4
117,Resort Hotel,Yes,41,1,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,1,Canceled,15/06/2018,20/07/2018,4
118,Resort Hotel,Yes,60,1,4,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,195,0,0,Canceled,17/06/2018,20/07/2018,5
119,Resort Hotel,Yes,69,1,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,0,Canceled,08/06/2018,20/07/2018,5
120,Resort Hotel,Yes,41,1,5,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,214,0,1,Canceled,22/06/2018,20/07/2018,6
121,Resort Hotel,Yes,41,1,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,0,Transient,141.33,0,1,Canceled,22/06/2018,20/07/2018,6
122,Resort Hotel,Yes,28,2,5,2,1,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,14,0,Transient,240.64,0,0,Canceled,20/07/2018,20/07/2018,7
123,Resort Hotel,Yes,86,2,5,2,1,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,Transient,172.93,0,1,Canceled,11/05/2018,20/07/2018,7
124,Resort Hotel,Yes,118,2,5,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,179.1,0,1,Canceled,23/04/2018,20/07/2018,7
125,Resort Hotel,Yes,52,3,6,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,142,0,Transient,92,0,0,Canceled,02/06/2018,20/07/2018,9
126,Resort Hotel,Yes,49,3,6,2,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,0,Transient,111.2,0,0,Canceled,01/06/2018,20/07/2018,9
127,Resort Hotel,Yes,7,3,8,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,0,Transient,200,0,0,Canceled,14/07/2018,20/07/2018,11
128,Resort Hotel,Yes,7,3,8,2,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,0,Transient,200,0,0,Canceled,14/07/2018,20/07/2018,11
129,Resort Hotel,Yes,42,0,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,Transient,157,0,0,Canceled,08/07/2018,21/07/2018,2
130,Resort Hotel,Yes,81,0,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,115,0,2,Canceled,01/06/2018,21/07/2018,3
131,Resort Hotel,Yes,63,0,4,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,195,0,0,Canceled,19/06/2018,21/07/2018,4
132,Resort Hotel,Yes,96,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,119.75,0,1,Canceled,22/04/2018,22/07/2018,4
133,Resort Hotel,Yes,44,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,1,Canceled,09/06/2018,22/07/2018,4
134,Resort Hotel,Yes,44,0,4,2,2,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,Transient,195,0,1,Canceled,09/06/2018,22/07/2018,4
135,Resort Hotel,Yes,44,0,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,1,Canceled,09/06/2018,22/07/2018,4
136,Resort Hotel,Yes,41,1,4,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,178.4,0,0,Canceled,29/06/2018,22/07/2018,5
137,Resort Hotel,Yes,55,0,1,1,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,146,0,Transient,112,0,0,Canceled,05/06/2018,23/07/2018,1
138,Resort Hotel,Yes,19,0,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,Transient,153,0,0,Canceled,07/07/2018,23/07/2018,3
139,Resort Hotel,Yes,55,0,3,2,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,Transient,135,0,0,Canceled,19/06/2018,23/07/2018,3
140,Resort Hotel,Yes,19,1,3,2,2,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,Transient,210,0,0,Canceled,06/07/2018,23/07/2018,4
